CommonID,PreferredTerm,RadlexID
   4013576,calcaneocuboid joint,RID3055
   4013577,calcaneofibular ligament,RID3023
   4013578,calcaneus,RID2959
   4013579,calcarine artery,RID820
   4013580,callosomarginal artery,RID661
   4013581,calyx of renal collecting system,RID225
   4013582,canine tooth,RID9126
   4013583,capitate,RID2197
   4013584,capitellum of humerus,RID1987
   4013585,capitohamate joint,RID2249
   4013586,capitolunate joint,RID2247
   4013587,carina,RID1248
   4013588,carotid space,RID7568
   4013589,caudate lobe of liver,RID77
   4013590,caudate nucleus,RID6545
   4013591,cavernous sinus,RID1094
   4013592,cavum trigeminale,RID7099
   4013593,cecum,RID154
   4013594,celiac artery,RID906
   4013595,celiac lymph node group,RID31912
   4013596,celiac nerve plexus,RID49533
   4013597,central,RID5827
   4013598,central region of breast,RID29949
   4013599,central region of left breast,RID29951
   4013600,central region of right breast,RID29950
   4013601,central sulcus,RID6456
   4013602,cephalic vein,RID1017
   4013603,ceratoglossus muscle,RID9897
   4013604,cerebellar peduncle,RID6892
   4013605,cerebellum,RID6815
   4013606,cerebral aqueduct,RID7171
   4013607,cerebral crus,RID28449
   4013608,cerebral hemisphere,RID13857
   4013609,cervical intervertebral disk,RID50392
   4013610,cervical lymph node group,RID28848
   4013611,cervical vertebral column,RID34571
   4013612,cervix of uterus,RID308
   4013613,chest wall,RID2468
   4013614,chondroglossus muscle,RID9896
   4013615,chordae tendineae,RID1401
   4013616,chorion,RID34559
   4013617,choroid of globe,RID9617
   4013618,ciliary body,RID9624
   4013619,cingulate gyrus,RID6510
   4013620,circle of Willis,RID28600
   4013622,circumflex pontine artery,RID793
   4013623,claustrum,RID6905
   4013624,clavicle,RID1854
   4013625,clivus,RID9332
   4013626,coccyx,RID2524
   4013627,cochlea,RID10223
   4013628,cochlear nerve,RID12165
   4013629,collicular artery,RID44723
   4013630,common bile duct,RID199
   4013631,common carotid artery,RID584
   4013632,common extensor tendon,RID2068
   4013633,common femoral artery,RID958
   4013634,common hepatic artery,RID909
   4013635,common hepatic duct,RID200
   4013636,common iliac artery,RID944
   4013637,common iliac lymph node group,RID32011
   4013638,common iliac vein,RID1193
   4013639,common peroneal nerve,RID7348
   4013640,common tendinous ring of extraocular muscles,RID9718
   4013641,communicating vein between internal jugular vein and anterior jugular vein,RID43934
   4013642,communicating vein between left internal jugular vein and left anterior jugular vein,RID43936
   4013643,communicating vein between right internal jugular vein and right anterior jugular vein,RID43935
   4013644,condyle of mandible,RID9110
   4013645,coracoacromial ligament,RID1915
   4013646,coracobrachialis muscle,RID2004
   4013647,coracoclavicular ligament,RID1901
   4013648,coracoid process,RID1863
   4013649,coranoid process of left ulna,RID43007
   4013650,coranoid process of right ulna,RID43006
   4013651,cornea,RID9606
   4013652,corniculate cartilage,RID7619
   4013653,coronal suture,RID9805
   4013654,coronary sinus,RID1216
   4013655,coronoid process of mandible,RID9115
   4013656,coronoid process of ulna,RID2125
   4013657,corpus callosum,RID6915
   4013658,corrugator supercilii muscle,RID9880
   4013659,cortex of insula,RID13522
   4013660,cortex of kidney,RID211
   4013661,cortex of left insula,RID13523
   4013662,cortex of left kidney,RID31790
   4013663,cortex of right insula,RID13524
   4013664,cortex of right kidney,RID31789
   4013665,costocervical trunk,RID853
   4013666,costoclavicular ligament,RID1892
   4013667,cricoid cartilage,RID7601
   4013668,cricothyroid muscle,RID7640
   4013669,crista galli,RID9202
   4013670,crus of diaphragm,RID1529
   4013671,cuboid,RID2973
   4013672,cul-de-sac,RID407
   4013673,cuneiform cartilage,RID7621
   4013674,cystic artery,RID919
   4013675,cystic duct,RID201
   4013676,deciduous left mandibular canine tooth,RID9131_RID5824_RID9106_RID9126
   4013677,deciduous left mandibular central incisor tooth,RID9131_RID5824_RID9106_RID5827_RID9127
   4013678,deciduous left mandibular first molar tooth,RID9131_RID5824_RID9106_RID5996_RID9128
   4013679,deciduous left mandibular lateral incisor tooth,RID9131_RID5824_RID9106_RID39121_RID9127
   4013680,deciduous left mandibular second molar tooth,RID9131_RID5824_RID9106_RID5998_RID9128
   4013681,deciduous left maxillary canine tooth,RID9131_RID5824_RID9279_RID9126
   4013682,deciduous left maxillary central incisor tooth,RID9131_RID5824_RID9279_RID5827_RID9127
   4013683,deciduous left maxillary first molar tooth,RID9131_RID5824_RID9279_RID5996_RID9128
   4013684,deciduous left maxillary lateral incisor tooth,RID9131_RID5824_RID9279_RID39121_RID9127
   4013685,deciduous left maxillary second molar tooth,RID9131_RID5824_RID9279_RID5998_RID9128
   4013686,deciduous right mandibular canine tooth,RID9131_RID5825_RID9106_RID9126
   4013687,deciduous right mandibular central incisor tooth,RID9131_RID5825_RID9106_RID5827_RID9127
   4013688,deciduous right mandibular first molar tooth,RID9131_RID5825_RID9106_RID5996_RID9128
   4013689,deciduous right mandibular lateral incisor tooth,RID9131_RID5825_RID9106_RID39121_RID9127
   4013690,deciduous right mandibular second molar tooth,RID9131_RID5825_RID9106_RID5998_RID9128
   4013691,deciduous right maxillary canine tooth,RID9131_RID5825_RID9279_RID9126
   4013692,deciduous right maxillary central incisor tooth,RID9131_RID5825_RID9279_RID5827_RID9127
   4013693,deciduous right maxillary first molar tooth,RID9131_RID5825_RID9279_RID5996_RID9128
   4013694,deciduous right maxillary lateral incisor tooth,RID9131_RID5825_RID9279_RID39121_RID9127
